2022-05-04 18:35:37.454 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.8016833992905017
2022-05-04 18:35:37.454 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.7418130763957207
2022-05-04 18:35:37.454 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.8231603164642718
2022-05-04 18:35:37.455 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.8483755486945597
2022-05-04 18:35:37.455 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 2.014577164553528
2022-05-04 18:35:37.455 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 4.921276876349419
2022-05-04 18:35:37.456 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 26.842045746169592
2022-05-04 18:35:37.456 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.227021727935295
2022-05-04 18:35:37.456 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 28.082138368861273
2022-05-04 18:35:37.457 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 26.80696891759177
2022-05-04 18:35:37.457 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.625247874267
2022-05-04 18:35:37.458 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.018358213422637
2022-05-04 18:35:37.458 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.27821050414561
2022-05-04 18:35:37.458 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.386209330520064
2022-05-04 18:35:37.458 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 26.9424082803491
2022-05-04 18:35:37.458 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.674036693978156
2022-05-04 18:35:37.459 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.56405652435233
2022-05-04 18:35:37.459 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.331937165925787
2022-05-04 18:35:37.459 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.524624224420513
2022-05-04 18:35:37.460 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.90823945936375
2022-05-04 18:35:37.460 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.32557968943135
2022-05-04 18:35:37.460 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 26.68965397046204
2022-05-04 18:35:37.460 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.971372047064605
2022-05-04 18:35:37.460 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.844815134742067
2022-05-04 18:35:37.461 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.476670872592337
2022-05-04 18:35:37.461 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.28804370871966
2022-05-04 18:35:37.461 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.5341289688347
2022-05-04 18:35:37.461 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.197240769242942
2022-05-04 18:35:37.461 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 26.574230024246376
2022-05-04 18:35:37.461 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 28.16174365324359
2022-05-04 18:35:37.462 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.347270604363512
2022-05-04 18:35:37.462 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.813693444724752
2022-05-04 18:35:37.462 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 26.98118654817236
2022-05-04 18:35:37.462 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 26.74746501991642
2022-05-04 18:35:37.462 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.015607893553025
2022-05-04 18:35:37.462 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 26.746953474252862
2022-05-04 18:35:37.463 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.76730346966765
2022-05-04 18:35:37.463 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.8502209566180965
2022-05-04 18:35:37.463 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.9180781293564935
2022-05-04 18:35:37.463 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.9302031923893
2022-05-04 18:35:37.463 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.993870379777102
2022-05-04 18:35:37.463 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.827233915970166
2022-05-04 18:35:37.463 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.9045659564619095
2022-05-04 18:35:37.464 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.911142928388323
2022-05-04 18:35:37.464 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.9977933700764012
2022-05-04 18:35:37.464 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.7444426508641464
